"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm","Sire","Dam"
"45","PL005227672382","PL005227672382",1,23,"2016--37","2016--09",166,287.870875742274,21.68256,"FR4460978633","PL005291246311"
"46","PL005227672382","PL005227672382",1,11,"2016--25","2016--06",80,392.904319064342,28.283852,"FR4460978633","PL005291246311"
"47","PL005227672405","PL005227672405",1,9,"2016--22","2016--06",68,427.530789843868,36.240219,"UK635476","PL005306320876"
"48","PL005227672405","PL005227672405",1,21,"2016--33","2016--08",149,323.686818981771,39.02465,"UK635476","PL005306320876"
"49","PL005227672405","PL005227672405",1,19,"2016--31","2016--08",133,378.533110779374,37.363599,"UK635476","PL005306320876"
"50","PL005227672405","PL005227672405",1,18,"2016--31","2016--08",132,333.303666363223,40.612096,"UK635476","PL005306320876"
"51","PL005227672405","PL005227672405",1,17,"2016--30","2016--07",123,421.841558501065,42.797664,"UK635476","PL005306320876"
"52","PL005227672405","PL005227672405",1,21,"2016--33","2016--08",148,340.128877941707,40.479936,"UK635476","PL005306320876"
"53","PL005227672405","PL005227672405",1,22,"2016--35","2016--08",159,349.939645258049,41.648497,"UK635476","PL005306320876"
"54","PL005227672405","PL005227672405",1,20,"2016--32","2016--08",141,388.162267820768,42.049614,"UK635476","PL005306320876"
"55","PL005227672405","PL005227672405",1,20,"2016--33","2016--08",144,388.791486457822,38.25221,"UK635476","PL005306320876"
"56","PL005227672405","PL005227672405",1,19,"2016--32","2016--08",139,366.012950000269,39.811254,"UK635476","PL005306320876"
"57","PL005227672405","PL005227672405",1,11,"2016--23","2016--06",77,412.563485083389,41.916458,"UK635476","PL005306320876"
"58","PL005227672405","PL005227672405",1,18,"2016--31","2016--08",129,322.700268714172,40.826858,"UK635476","PL005306320876"
"59","PL005227672405","PL005227672405",1,17,"2016--30","2016--07",125,383.912720273803,40.627765,"UK635476","PL005306320876"
"60","PL005227672405","PL005227672405",1,20,"2016--33","2016--08",143,362.126801561257,39.107525,"UK635476","PL005306320876"
"61","PL005227672405","PL005227672405",1,10,"2016--22","2016--06",72,451.803616740312,38.868606,"UK635476","PL005306320876"
"62","PL005227672405","PL005227672405",1,13,"2016--26","2016--06",94,421.827039213222,39.60621,"UK635476","PL005306320876"
"63","PL005227672405","PL005227672405",1,16,"2016--28","2016--07",114,329.622704239648,41.703992,"UK635476","PL005306320876"
"64","PL005227672405","PL005227672405",1,14,"2016--26","2016--07",99,385.828204065155,38.391795,"UK635476","PL005306320876"
"65","PL005227672405","PL005227672405",1,16,"2016--29","2016--07",116,333.209558951892,41.56516,"UK635476","PL005306320876"
"66","PL005227672405","PL005227672405",1,22,"2016--35","2016--09",160,333.798323120955,40.654238,"UK635476","PL005306320876"
"67","PL005227672405","PL005227672405",1,22,"2016--34","2016--08",156,360.064589479664,40.580268,"UK635476","PL005306320876"
"68","PL005227672405","PL005227672405",1,15,"2016--27","2016--07",105,373.264593166556,40.12737,"UK635476","PL005306320876"
"69","PL005227672405","PL005227672405",1,22,"2016--35","2016--08",157,374.889838884101,38.73996,"UK635476","PL005306320876"
"70","PL005227672405","PL005227672405",1,21,"2016--34","2016--08",152,317.324287334364,36.919203,"UK635476","PL005306320876"
"71","PL005227672405","PL005227672405",1,17,"2016--29","2016--07",120,326.227437612804,38.24898,"UK635476","PL005306320876"
"72","PL005227672405","PL005227672405",1,10,"2016--22","2016--06",71,424.985268060402,40.585002,"UK635476","PL005306320876"
"73","PL005227672405","PL005227672405",1,20,"2016--33","2016--08",145,321.558557791252,36.447646,"UK635476","PL005306320876"
"74","PL005227672405","PL005227672405",1,20,"2016--32","2016--08",140,383.178653836792,42.252494,"UK635476","PL005306320876"
"75","PL005227672405","PL005227672405",1,12,"2016--25","2016--06",90,429.565873006755,40.830684,"UK635476","PL005306320876"
"76","PL005227672405","PL005227672405",1,11,"2016--23","2016--06",79,264.54543895568,42.83533,"UK635476","PL005306320876"
"77","PL005227672405","PL005227672405",1,18,"2016--30","2016--07",127,391.956339646142,38.560257,"UK635476","PL005306320876"
"78","PL005227672405","PL005227672405",1,23,"2016--35","2016--09",161,368.007633155962,42.723555,"UK635476","PL005306320876"
"79","PL005227672405","PL005227672405",1,23,"2016--36","2016--09",167,411.16514120925,38.937678,"UK635476","PL005306320876"
"80","PL005227672405","PL005227672405",1,21,"2016--33","2016--08",147,364.176126696925,39.099467,"UK635476","PL005306320876"
"81","PL005227672405","PL005227672405",1,13,"2016--26","2016--06",97,355.627815317754,36.354415,"UK635476","PL005306320876"
"82","PL005227672405","PL005227672405",1,19,"2016--32","2016--08",137,378.973416871556,40.141784,"UK635476","PL005306320876"
"83","PL005227672405","PL005227672405",1,11,"2016--23","2016--06",78,380.981080037162,42.405935,"UK635476","PL005306320876"
"84","PL005227672405","PL005227672405",1,15,"2016--28","2016--07",109,377.176575236364,39.569472,"UK635476","PL005306320876"
"85","PL005227672405","PL005227672405",1,22,"2016--35","2016--08",158,367.467914143065,39.701996,"UK635476","PL005306320876"
"86","PL005227672405","PL005227672405",1,21,"2016--34","2016--08",153,280.489151701438,37.422784,"UK635476","PL005306320876"
"87","PL005227672405","PL005227672405",1,16,"2016--28","2016--07",112,344.373151446218,39.382332,"UK635476","PL005306320876"
"88","PL005227672405","PL005227672405",1,13,"2016--25","2016--06",91,339.440589867312,41.738724,"UK635476","PL005306320876"
"89","PL005227672405","PL005227672405",1,17,"2016--29","2016--07",121,347.095297696395,39.776022,"UK635476","PL005306320876"
"90","PL005227672405","PL005227672405",1,22,"2016--34","2016--08",155,500.29801767317,40.30377,"UK635476","PL005306320876"
"91","PL005227672405","PL005227672405",1,15,"2016--27","2016--07",106,313.072415999501,40.96911,"UK635476","PL005306320876"
"92","PL005227672405","PL005227672405",1,15,"2016--28","2016--07",110,320.803784786991,38.65545,"UK635476","PL005306320876"
"93","PL005227672405","PL005227672405",1,16,"2016--28","2016--07",113,376.939636347,40.870292,"UK635476","PL005306320876"
"94","PL005227672405","PL005227672405",1,16,"2016--29","2016--07",117,382.405291264234,40.96227,"UK635476","PL005306320876"
"95","PL005227672405","PL005227672405",1,17,"2016--29","2016--07",119,346.174737662245,40.715584,"UK635476","PL005306320876"
"96","PL005227672405","PL005227672405",1,23,"2016--35","2016--09",163,298.417814532859,42.397278,"UK635476","PL005306320876"
"97","PL005227672405","PL005227672405",1,23,"2016--36","2016--09",164,358.176589399502,37.483072,"UK635476","PL005306320876"
"98","PL005227672405","PL005227672405",1,19,"2016--32","2016--08",136,329.195305859795,38.071808,"UK635476","PL005306320876"
"99","PL005227672405","PL005227672405",1,12,"2016--25","2016--06",89,499.775508845072,41.427156,"UK635476","PL005306320876"
"100","PL005227672405","PL005227672405",1,18,"2016--30","2016--07",128,375.023882893575,39.51192,"UK635476","PL005306320876"
"101","PL005227672405","PL005227672405",1,17,"2016--30","2016--07",124,349.783892275137,39.98659,"UK635476","PL005306320876"
"102","PL005227672429","PL005227672429",1,19,"2016--23","2016--06",134,341.087458150633,31.23942,"UK635476","PL005236320113"
"103","PL005227672429","PL005227672429",1,20,"2016--25","2016--06",143,386.037981948808,30.179633,"UK635476","PL005236320113"
"104","PL005227672429","PL005227672429",1,18,"2016--23","2016--06",130,411.045014056039,29.864334,"UK635476","PL005236320113"
"105","PL005227672429","PL005227672429",1,23,"2016--27","2016--07",162,377.606454196536,29.172335,"UK635476","PL005236320113"
"106","PL005227672429","PL005227672429",1,19,"2016--24","2016--06",139,352.933463581946,27.605805,"UK635476","PL005236320113"
"107","PL005227672429","PL005227672429",1,21,"2016--25","2016--06",148,323.658409205952,29.176359,"UK635476","PL005236320113"
"108","PL005227672429","PL005227672429",1,18,"2016--22","2016--06",126,371.982514230927,30.993847,"UK635476","PL005236320113"
"109","PL005227672429","PL005227672429",1,22,"2016--27","2016--07",156,374.722393744085,28.7493,"UK635476","PL005236320113"
"110","PL005227672429","PL005227672429",1,18,"2016--23","2016--06",131,360.666122942011,28.97232,"UK635476","PL005236320113"
"111","PL005227672429","PL005227672429",1,23,"2016--28","2016--07",166,379.021793864425,29.76309,"UK635476","PL005236320113"
"112","PL005227672429","PL005227672429",1,19,"2016--24","2016--06",135,329.088682257641,31.194576,"UK635476","PL005236320113"
"113","PL005227672429","PL005227672429",1,23,"2016--28","2016--07",165,345.844309498314,29.560723,"UK635476","PL005236320113"
"114","PL005227672429","PL005227672429",1,17,"2016--22","2016--06",125,455.468653609059,30.902491,"UK635476","PL005236320113"
"115","PL005227672429","PL005227672429",1,21,"2016--26","2016--06",152,360.96245412697,29.463524,"UK635476","PL005236320113"
"116","PL005227672429","PL005227672429",1,19,"2016--24","2016--06",137,392.471568841437,30.22857,"UK635476","PL005236320113"
"117","PL005227672429","PL005227672429",1,23,"2016--27","2016--07",161,373.344117821317,29.081322,"UK635476","PL005236320113"
"118","PL005227672429","PL005227672429",1,21,"2016--25","2016--06",147,386.489065021186,30.066582,"UK635476","PL005236320113"
"119","PL005227672429","PL005227672429",1,22,"2016--26","2016--07",155,359.957082841164,29.264004,"UK635476","PL005236320113"
"120","PL005227672429","PL005227672429",1,20,"2016--24","2016--06",141,350.268285257882,29.361826,"UK635476","PL005236320113"
"121","PL005227672429","PL005227672429",1,20,"2016--25","2016--06",142,364.60938389164,30.24702,"UK635476","PL005236320113"
"122","PL005227672429","PL005227672429",1,21,"2016--26","2016--06",151,382.963278699515,30.20224,"UK635476","PL005236320113"
"123","PL005227672429","PL005227672429",1,20,"2016--24","2016--06",140,347.073735179158,29.108664,"UK635476","PL005236320113"
"124","PL005227672429","PL005227672429",1,19,"2016--24","2016--06",136,333.891526734477,31.33188,"UK635476","PL005236320113"
"125","PL005227672429","PL005227672429",1,20,"2016--25","2016--06",144,473.565225711062,29.62752,"UK635476","PL005236320113"
"126","PL005227672429","PL005227672429",1,19,"2016--24","2016--06",138,382.834705693293,29.33892,"UK635476","PL005236320113"
"127","PL005227672443","PL005227672443",1,16,"2016--26","2016--06",112,353.381107526949,22.659431,"FR4460978633","PL005291248247"
"128","PL005227672443","PL005227672443",1,16,"2016--27","2016--07",116,317.166404031111,26.782314,"FR4460978633","PL005291248247"
