"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm"
"243","PL005368235071","PL005368235071",1,3,"2016--10","2016--03",27,378.583433688026,30.80067
"246","PL005368235101","PL005368235101",1,4,"2016--05","2016--02",28,378.389561397071,22.17441
"250","PL005251904404","PL005251904404",1,4,"2016--08","2016--02",28,425.579626018989,34.733764
"251","PL005349224551","PL005349224551",1,4,"2016--08","2016--02",28,402.976642954293,36.5788
"256","PL005368235071","PL005368235071",1,4,"2016--10","2016--03",28,293.168514892425,29.508536
"261","PL005349224728","PL005349224728",1,4,"2016--07","2016--02",29,424.853666339443,30.161344
"263","PL005349224551","PL005349224551",1,4,"2016--08","2016--02",29,352.543921887629,36.792424
"266","PL005251904718","PL005251904718",1,4,"2016--10","2016--03",29,488.338106466668,33.433967
"268","PL005368235071","PL005368235071",1,4,"2016--11","2016--03",29,350.442101423568,27.479129
"269","PL005251904633","PL005251904633",1,4,"2016--05","2016--02",30,472.680458402065,35.323904
"270","PL005368235101","PL005368235101",1,4,"2016--06","2016--02",30,346.155133485089,17.142504
"272","PL005349224728","PL005349224728",1,4,"2016--07","2016--02",30,455.350050838739,30.22425
"274","PL005251904404","PL005251904404",1,4,"2016--08","2016--02",30,435.218034979245,37.4367
"275","PL005349224551","PL005349224551",1,4,"2016--08","2016--02",30,371.909329884666,39.509624
"283","PL005251904718","PL005251904718",1,4,"2016--11","2016--03",30,469.887852279263,34.283458
"287","PL005251904404","PL005251904404",1,4,"2016--08","2016--02",31,450.07403198723,35.726168
"291","PL005349224551","PL005349224551",1,4,"2016--09","2016--02",31,427.480702603616,39.464976
"294","PL005251904633","PL005251904633",1,4,"2016--05","2016--02",32,507.403944825676,38.166726
"295","PL005368235101","PL005368235101",1,4,"2016--06","2016--02",32,362.572762353044,17.684136
"297","PL005349224728","PL005349224728",1,4,"2016--08","2016--02",32,283.53999866702,20.11074
"300","PL005368235019","PL005368235019",1,4,"2016--09","2016--03",32,315.593921145367,16.460498
"308","PL005251904633","PL005251904633",1,4,"2016--06","2016--02",33,487.392069674414,34.56355
"309","PL005368235101","PL005368235101",1,4,"2016--06","2016--02",33,233.502824632492,17.9487
"313","PL005349224551","PL005349224551",1,4,"2016--09","2016--03",33,416.048727082158,38.785035
"318","PL005251904633","PL005251904633",1,4,"2016--06","2016--02",34,507.49163921927,36.849375
"319","PL005368235101","PL005368235101",1,4,"2016--06","2016--02",34,319.245990571259,15.698696
