"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm"
"3486","PL005305364789","PL005305364789",1,4,"2014--51","2014--12",31,388.21475937298,37.794105
"3487","PL005254377243","PL005254377243",1,4,"2014--52","2014--12",31,407.90031498322,40.68387
"3488","PL005254377625","PL005254377625",1,4,"2015--00","2015--01",31,435.440753805915,36.58944
"3489","PL005254374440","PL005254374440",1,4,"2015--08","2015--03",31,396.612931257133,30.066311
"3490","PL005305365397","PL005305365397",1,4,"2015--09","2015--03",31,329.864553329645,30.519045
"3491","PL005254374471","PL005254374471",1,4,"2015--12","2015--03",31,445.15198222752,28.531811
"3492","PL005254375324","PL005254375324",1,4,"2015--12","2015--03",31,481.036596876486,38.422851
"3494","PL005254375553","PL005254375553",1,4,"2015--17","2015--05",31,270.632240531086,29.192704
"3495","PL005254374464","PL005254374464",1,4,"2015--18","2015--05",31,358.506854486787,40.762545
"3499","PL005254376468","PL005254376468",1,4,"2015--20","2015--05",31,192.809493691224,30.986451
"3502","PL005254376628","PL005254376628",1,4,"2015--21","2015--05",31,326.448340927886,32.28583
"3503","PL005254376680","PL005254376680",1,4,"2015--21","2015--05",31,183.591423003938,29.679632
"3504","PL005254375867","PL005254375867",1,4,"2015--27","2015--07",31,450.841495478636,34.26375
"3505","PL005305364376","PL005305364376",1,4,"2015--27","2015--07",31,364.771328429634,26.638916
"3506","PL005254374433","PL005254374433",1,4,"2015--28","2015--07",31,470.91718862262,42.21092
"3507","PL005254374778","PL005254374778",1,4,"2015--28","2015--07",31,375.721623632849,36.509868
"3508","PL005254375027","PL005254375027",1,4,"2015--28","2015--07",31,322.927473008327,35.776395
"3509","PL005254375645","PL005254375645",1,4,"2015--28","2015--07",31,353.320000610949,33.382504
"3510","PL005237873120","PL005237873120",1,4,"2015--29","2015--07",31,401.731363597888,23.646438
"3511","PL005254376079","PL005254376079",1,4,"2015--29","2015--07",31,240.001463442662,22.70899
"3515","PL005227673402","PL005227673402",1,4,"2016--25","2016--06",31,352.732797302678,23.15208
"3516","PL005227673426","PL005227673426",1,4,"2016--25","2016--06",31,425.349207135,24.63784
"3521","PL005227673686","PL005227673686",1,4,"2016--31","2016--08",31,325.580912007287,26.968975
"3522","PL005261200411","PL005261200411",1,4,"2016--31","2016--08",31,309.62125972511,21.575268
"3526","PL005254376987","PL005254376987",1,4,"2014--50","2014--12",32,461.538298902012,33.622617
"3527","PL005254380175","PL005254380175",1,4,"2014--50","2014--12",32,399.619694197142,37.20162
"3528","PL005305364963","PL005305364963",1,4,"2014--50","2014--12",32,210.567513242204,24.226488
"3529","PL005254376963","PL005254376963",1,4,"2014--51","2014--12",32,454.3996917227,36.35137
"3530","PL005254378073","PL005254378073",1,4,"2014--51","2014--12",32,417.071756571153,32.021
"3531","PL005237873359","PL005237873359",1,4,"2015--09","2015--03",32,399.854480745328,43.806784
"3532","PL005305365397","PL005305365397",1,4,"2015--09","2015--03",32,371.064194426154,28.530945
"3533","PL005254374471","PL005254374471",1,4,"2015--12","2015--03",32,361.299242365848,25.822998
"3534","PL005254375324","PL005254375324",1,4,"2015--12","2015--03",32,592.052714746304,35.382655
"3535","PL005254377694","PL005254377694",1,4,"2015--12","2015--03",32,377.113506489894,29.714212
"3536","PL005305365069","PL005305365069",1,4,"2015--12","2015--03",32,417.316509217324,34.92904
"3539","PL005254374464","PL005254374464",1,4,"2015--19","2015--05",32,543.546927476323,40.197332
"3541","PL005254375812","PL005254375812",1,4,"2015--20","2015--05",32,290.566553609927,33.88744
"3543","PL005254376468","PL005254376468",1,4,"2015--21","2015--05",32,364.201281259243,30.858693
"3544","PL005254376680","PL005254376680",1,4,"2015--21","2015--05",32,285.638118045634,31.483223
"3546","PL005254374730","PL005254374730",1,4,"2015--26","2015--07",32,428.547918999551,39.9484
"3547","PL005254375867","PL005254375867",1,4,"2015--27","2015--07",32,314.998176832026,36.237502
"3548","PL005237873137","PL005237873137",1,4,"2015--28","2015--07",32,404.38037882655,30.519588
"3549","PL005254374600","PL005254374600",1,4,"2015--28","2015--07",32,406.481835199312,32.652263
"3550","PL005254374624","PL005254374624",1,4,"2015--28","2015--07",32,316.2333864497,26.401904
"3551","PL005254374778","PL005254374778",1,4,"2015--28","2015--07",32,343.305176600072,35.678055
"3552","PL005254375027","PL005254375027",1,4,"2015--28","2015--07",32,336.215210453065,32.361408
"3553","PL005254375645","PL005254375645",1,4,"2015--28","2015--07",32,262.00762455478,33.622504
"3554","PL005254376031","PL005254376031",1,4,"2015--28","2015--07",32,467.338380291583,43.048464
"3555","PL005254375706","PL005254375706",1,4,"2015--29","2015--07",32,304.096452784901,25.975635
"3561","PL005420728732","PL005420728732",1,4,"2015--47","2015--11",32,366.18586538439,28.452928
"3563","PL005227672689","PL005227672689",1,4,"2016--26","2016--06",32,411.394986033631,36.586422
"3564","PL005227673648","PL005227673648",1,4,"2016--27","2016--07",32,461.000457525066,30.8035
"3565","PL005227672771","PL005227672771",1,4,"2016--30","2016--07",32,407.479877963494,31.497144
"3566","PL005227673341","PL005227673341",1,4,"2016--30","2016--07",32,399.736379240004,28.431702
"3567","PL005227673754","PL005227673754",1,4,"2016--30","2016--07",32,321.474820370827,24.79802
"3568","PL005227673792","PL005227673792",1,4,"2016--30","2016--07",32,311.04274939601,21.815557
"3569","PL005227673808","PL005227673808",1,4,"2016--33","2016--08",32,247.598799639551,23.235014
"3570","PL005227673938","PL005227673938",1,4,"2016--35","2016--08",32,359.404023632104,32.97717
"3571","PL005249208767","PL005249208767",1,4,"2016--35","2016--08",32,307.639535072422,30.1326
"3573","PL005254376253","PL005254376253",1,4,"2014--49","2014--12",33,363.81957855954,33.400809
"3574","PL005254377779","PL005254377779",1,4,"2014--49","2014--12",33,287.217346357053,26.193915
"3577","PL005254376987","PL005254376987",1,4,"2014--50","2014--12",33,480.874985445273,34.68306
"3578","PL005254380175","PL005254380175",1,4,"2014--50","2014--12",33,425.343282982725,38.51645
"3579","PL005254377274","PL005254377274",1,4,"2014--51","2014--12",33,403.322787828865,41.33185
"3580","PL005254378073","PL005254378073",1,4,"2014--51","2014--12",33,498.065125542871,35.0569
"3581","PL005305363584","PL005305363584",1,4,"2014--51","2014--12",33,629.72605686425,44.34873
"3582","PL005254376963","PL005254376963",1,4,"2014--52","2014--12",33,379.883251358336,37.350147
"3583","PL005254376475","PL005254376475",1,4,"2015--08","2015--02",33,343.836468262676,30.490284
"3584","PL005237873359","PL005237873359",1,4,"2015--09","2015--03",33,416.095173418193,42.632352
"3585","PL005254377694","PL005254377694",1,4,"2015--12","2015--03",33,475.136013155263,30.478889
"3586","PL005305365069","PL005305365069",1,4,"2015--12","2015--03",33,456.332997911742,38.932689
"3587","PL005254376550","PL005254376550",1,4,"2015--17","2015--05",33,270.384381983604,26.262342
"3588","PL005254374419","PL005254374419",1,4,"2015--18","2015--05",33,493.309928424686,35.10806
"3589","PL005254374549","PL005254374549",1,4,"2015--18","2015--05",33,604.349904538537,40.491756
"3590","PL005254375621","PL005254375621",1,4,"2015--18","2015--05",33,509.045988804536,42.027822
"3592","PL005254374303","PL005254374303",1,4,"2015--21","2015--05",33,361.318395695814,34.651738
"3593","PL005254375959","PL005254375959",1,4,"2015--21","2015--05",33,357.385326218109,22.342902
"3596","PL005237873403","PL005237873403",1,4,"2015--26","2015--07",33,277.82830381313,18.366244
"3597","PL005237873137","PL005237873137",1,4,"2015--28","2015--07",33,413.576292629849,30.491008
"3598","PL005254374624","PL005254374624",1,4,"2015--28","2015--07",33,222.189694585789,27.282086
"3599","PL005254375645","PL005254375645",1,4,"2015--28","2015--07",33,422.626201020624,28.569113
"3600","PL005237873120","PL005237873120",1,4,"2015--29","2015--07",33,374.494772609242,28.02212
"3601","PL005254374822","PL005254374822",1,4,"2015--29","2015--07",33,401.744818728447,34.36808
"3602","PL005254375706","PL005254375706",1,4,"2015--29","2015--07",33,286.977240325991,32.60834
"3608","PL005254374877","PL005254374877",1,4,"2015--46","2015--11",33,388.139897035944,31.994765
"3609","PL005254375997","PL005254375997",1,4,"2015--49","2015--12",33,574.73063903824,40.711062
"3610","PL005415476259","PL005415476259",1,4,"2015--51","2015--12",33,290.435915939923,38.213688
"3611","PL005415476358","PL005415476358",1,4,"2015--52","2015--12",33,325.108000233669,34.30702
"3612","PL005227673556","PL005227673556",1,4,"2016--25","2016--06",33,463.797253036953,29.967623
"3616","PL005227673686","PL005227673686",1,4,"2016--31","2016--08",33,338.474871561591,28.90607
"3617","PL005227673136","PL005227673136",1,4,"2016--32","2016--08",33,433.788175850571,39.160275
"3618","PL005227673280","PL005227673280",1,4,"2016--33","2016--08",33,299.459969311936,25.732476
"3619","PL005227673624","PL005227673624",1,4,"2016--33","2016--08",33,379.015692905278,25.368057
"3624","PL005254376253","PL005254376253",1,4,"2014--49","2014--12",34,318.586434363335,33.012913
"3625","PL005254376970","PL005254376970",1,4,"2014--49","2014--12",34,329.039425737193,28.40521
"3628","PL005254380175","PL005254380175",1,4,"2014--50","2014--12",34,300.946924449942,37.814436
"3629","PL005254376987","PL005254376987",1,4,"2014--51","2014--12",34,442.615846090644,32.747484
"3630","PL005305363584","PL005305363584",1,4,"2014--51","2014--12",34,354.550172628736,43.890668
"3631","PL005305364789","PL005305364789",1,4,"2014--51","2014--12",34,485.783284231079,37.88043
"3632","PL005254376963","PL005254376963",1,4,"2014--52","2014--12",34,309.033849582642,37.019826
"3633","PL005254377274","PL005254377274",1,4,"2014--52","2014--12",34,504.462637107754,40.086555
"3634","PL005254378455","PL005254378455",1,4,"2015--00","2015--01",34,431.543681051875,38.169824
"3635","PL005254377625","PL005254377625",1,4,"2015--01","2015--01",34,502.784315963213,38.403816
"3636","PL005254376475","PL005254376475",1,4,"2015--08","2015--02",34,437.189149762491,31.53506
"3637","PL005254374440","PL005254374440",1,4,"2015--09","2015--03",34,364.935361271056,30.786763
"3640","PL005254374549","PL005254374549",1,4,"2015--18","2015--05",34,480.912375434068,38.805312
"3641","PL005254375553","PL005254375553",1,4,"2015--18","2015--05",34,366.798207027324,29.757849
"3642","PL005254374419","PL005254374419",1,4,"2015--19","2015--05",34,395.678750321308,34.85178
"3643","PL005254375621","PL005254375621",1,4,"2015--19","2015--05",34,499.05250180493,41.850824
"3645","PL005254375959","PL005254375959",1,4,"2015--21","2015--05",34,342.953905055156,20.933824
"3646","PL005254376468","PL005254376468",1,4,"2015--21","2015--05",34,306.56103264993,33.645556
"3647","PL005254376628","PL005254376628",1,4,"2015--21","2015--05",34,180.906304130258,26.435232
"3648","PL005254377991","PL005254377991",1,4,"2015--21","2015--05",34,477.440495236975,41.126778
"3652","PL005254374433","PL005254374433",1,4,"2015--28","2015--07",34,450.693254368598,35.44005
"3653","PL005254376031","PL005254376031",1,4,"2015--28","2015--07",34,350.095973973663,43.165236
"3654","PL005254374822","PL005254374822",1,4,"2015--29","2015--07",34,335.189769592926,32.1913
"3655","PL005254376000","PL005254376000",1,4,"2015--29","2015--07",34,303.849328991506,29.557547
"3660","PL005420728596","PL005420728596",1,4,"2015--45","2015--11",34,368.42322344557,33.185286
"3663","PL005254374877","PL005254374877",1,4,"2015--46","2015--11",34,432.609095502301,30.038544
"3664","PL005415476617","PL005415476617",1,4,"2015--51","2015--12",34,463.815014844038,32.584371
"3665","PL005420728695","PL005420728695",1,4,"2015--52","2015--12",34,337.240734846154,33.613552
"3667","PL005227674430","PL005227674430",1,4,"2016--26","2016--06",34,385.788473477688,25.217229
"3669","PL005227673174","PL005227673174",1,4,"2016--28","2016--07",34,354.278446173157,28.109513
"3670","PL005227674546","PL005227674546",1,4,"2016--28","2016--07",34,298.391719793398,23.37734
"3674","PL005227674577","PL005227674577",1,4,"2016--31","2016--08",34,359.550829716483,32.949423
"3675","PL005227673594","PL005227673594",1,4,"2016--33","2016--08",34,358.23587107676,28.21077
"3677","PL005227673938","PL005227673938",1,4,"2016--35","2016--09",34,358.662619496818,35.095307
"3679","PL005254376970","PL005254376970",1,5,"2014--49","2014--12",35,333.417927877044,28.985025
"3683","PL005254376253","PL005254376253",1,5,"2014--50","2014--12",35,335.741588424094,35.795691
"3685","PL005254376987","PL005254376987",1,5,"2014--51","2014--12",35,378.440463475386,31.6173
"3686","PL005305363584","PL005305363584",1,5,"2014--51","2014--12",35,521.645976333373,44.525652
"3687","PL005305364789","PL005305364789",1,5,"2014--51","2014--12",35,439.188698004659,37.03152
"3688","PL005305364963","PL005305364963",1,5,"2014--51","2014--12",35,302.042258593615,24.83784
"3689","PL005254377243","PL005254377243",1,5,"2015--00","2015--01",35,351.479073043903,37.458844
"3690","PL005254378455","PL005254378455",1,5,"2015--00","2015--01",35,339.157220652034,38.274373
"3691","PL005254377625","PL005254377625",1,5,"2015--01","2015--01",35,449.479062181205,36.715166
"3692","PL005254374440","PL005254374440",1,5,"2015--09","2015--03",35,448.660099045172,33.0225
"3693","PL005305365397","PL005305365397",1,5,"2015--09","2015--03",35,326.776973365826,27.536313
"3694","PL005305365311","PL005305365311",1,5,"2015--12","2015--03",35,334.048597360846,29.40357
"3695","PL005254375553","PL005254375553",1,5,"2015--18","2015--05",35,373.718011564544,27.73148
"3697","PL005254374464","PL005254374464",1,5,"2015--19","2015--05",35,445.101740072373,43.091202
"3700","PL005254376468","PL005254376468",1,5,"2015--21","2015--05",35,324.533002435049,25.704315
"3701","PL005254377991","PL005254377991",1,5,"2015--21","2015--05",35,388.538954368395,34.412847
"3703","PL005254376628","PL005254376628",1,5,"2015--22","2015--06",35,407.251408258943,30.945202
"3704","PL005254374730","PL005254374730",1,5,"2015--27","2015--07",35,380.383924520628,35.02759
"3705","PL005254375867","PL005254375867",1,5,"2015--27","2015--07",35,379.436569701248,38.199
"3706","PL005254374433","PL005254374433",1,5,"2015--28","2015--07",35,364.600744090162,38.295968
"3707","PL005254374808","PL005254374808",1,5,"2015--28","2015--07",35,281.744047829575,34.036604
"3708","PL005254376031","PL005254376031",1,5,"2015--28","2015--07",35,311.724238505363,41.513432
"3709","PL005305364376","PL005305364376",1,5,"2015--28","2015--07",35,303.102430009535,36.74053
"3710","PL005237873120","PL005237873120",1,5,"2015--29","2015--07",35,308.892151336072,29.110928
"3711","PL005254374778","PL005254374778",1,5,"2015--29","2015--07",35,325.694732043469,34.03533
"3712","PL005254374822","PL005254374822",1,5,"2015--29","2015--07",35,430.114626005997,36.81909
"3713","PL005254375027","PL005254375027",1,5,"2015--29","2015--07",35,374.605335983307,35.346283
"3714","PL005254375645","PL005254375645",1,5,"2015--29","2015--07",35,275.273555609943,31.180104
"3715","PL005254376000","PL005254376000",1,5,"2015--29","2015--07",35,461.524112455206,36.07808
"3716","PL005254376079","PL005254376079",1,5,"2015--30","2015--07",35,261.723538371368,21.291389
"3717","PL005254376116","PL005254376116",1,5,"2015--30","2015--07",35,185.151250409583,28.217826
"3722","PL005420728411","PL005420728411",1,5,"2015--43","2015--10",35,378.504867771863,29.071
"3723","PL005254375065","PL005254375065",1,5,"2015--44","2015--11",35,461.118094613497,39.57417
"3724","PL005415476259","PL005415476259",1,5,"2015--52","2015--12",35,386.701901587119,40.064448
"3726","PL005227673556","PL005227673556",1,5,"2016--25","2016--06",35,406.363856481403,30.297672
"3727","PL005227673402","PL005227673402",1,5,"2016--26","2016--06",35,355.525498974691,22.887729
"3728","PL005227673426","PL005227673426",1,5,"2016--26","2016--06",35,354.743550277834,29.87272
"3729","PL005227672689","PL005227672689",1,5,"2016--26","2016--07",35,406.369441544744,34.833483
"3731","PL005420729432","PL005420729432",1,5,"2016--29","2016--07",35,547.108870255037,37.464268
"3735","PL005261200411","PL005261200411",1,5,"2016--31","2016--08",35,328.938995527261,25.106291
"3737","PL005227673549","PL005227673549",1,5,"2016--34","2016--08",35,314.21266577333,20.749029
"3739","PL005236317410","PL005236317410",1,5,"2014--48","2014--12",36,413.799714063511,35.574
"3741","PL005305365090","PL005305365090",1,5,"2014--49","2014--12",36,266.47115504783,33.245932
"3744","PL005254376970","PL005254376970",1,5,"2014--50","2014--12",36,382.183327855023,30.12912
"3745","PL005254380175","PL005254380175",1,5,"2014--50","2014--12",36,362.460042347011,37.87542
"3748","PL005254377229","PL005254377229",1,5,"2014--51","2014--12",36,417.260492105846,35.494268
"3749","PL005305364109","PL005305364109",1,5,"2014--51","2014--12",36,421.757627281798,33.995679
"3750","PL005305364963","PL005305364963",1,5,"2014--51","2014--12",36,289.536208099529,25.515578
"3751","PL005254378073","PL005254378073",1,5,"2014--52","2014--12",36,426.611480147172,34.38354
"3752","PL005254377243","PL005254377243",1,5,"2015--00","2015--01",36,488.44730620962,36.279672
"3753","PL005237873359","PL005237873359",1,5,"2015--09","2015--03",36,434.759196887976,42.053298
"3754","PL005305365069","PL005305365069",1,5,"2015--12","2015--03",36,597.665362302656,42.20587
"3755","PL005305365311","PL005305365311",1,5,"2015--12","2015--03",36,384.295099020974,28.030015
"3756","PL005254374471","PL005254374471",1,5,"2015--13","2015--04",36,507.293637529574,30.240096
"3757","PL005254375324","PL005254375324",1,5,"2015--13","2015--04",36,331.875574728338,25.241902
"3760","PL005254374464","PL005254374464",1,5,"2015--19","2015--05",36,424.038759114697,40.920796
"3762","PL005254375812","PL005254375812",1,5,"2015--21","2015--05",36,426.630354541698,32.836024
"3763","PL005254376468","PL005254376468",1,5,"2015--21","2015--05",36,339.219540366987,31.703012
"3764","PL005254376680","PL005254376680",1,5,"2015--21","2015--05",36,235.713356167649,30.768768
"3767","PL005237873403","PL005237873403",1,5,"2015--27","2015--07",36,324.758763797932,20.421555
"3768","PL005254374730","PL005254374730",1,5,"2015--27","2015--07",36,388.579923914988,39.215154
"3769","PL005254374259","PL005254374259",1,5,"2015--28","2015--07",36,351.084888165817,29.73813
"3770","PL005254374808","PL005254374808",1,5,"2015--28","2015--07",36,330.377837688321,34.57736
"3771","PL005254375867","PL005254375867",1,5,"2015--28","2015--07",36,366.515477617171,37.41474
"3772","PL005254376031","PL005254376031",1,5,"2015--28","2015--07",36,405.737997337369,41.904855
"3773","PL005305364376","PL005305364376",1,5,"2015--28","2015--07",36,408.298149756231,34.27857
"3774","PL005237873120","PL005237873120",1,5,"2015--29","2015--07",36,492.277856946655,29.055708
"3775","PL005237873137","PL005237873137",1,5,"2015--29","2015--07",36,371.28854992467,30.19385
"3776","PL005254374600","PL005254374600",1,5,"2015--29","2015--07",36,261.50467492452,29.73462
"3777","PL005254374778","PL005254374778",1,5,"2015--29","2015--07",36,316.137849262067,31.383321
"3778","PL005254375027","PL005254375027",1,5,"2015--29","2015--07",36,341.083621715848,33.776965
"3779","PL005254375645","PL005254375645",1,5,"2015--29","2015--07",36,323.566519127852,34.028533
"3780","PL005254375706","PL005254375706",1,5,"2015--30","2015--07",36,111.006038054053,22.254716
"3781","PL005254376079","PL005254376079",1,5,"2015--30","2015--07",36,262.923244383115,19.361006
"3782","PL005254376116","PL005254376116",1,5,"2015--30","2015--07",36,324.608343594688,29.156618
"3792","PL005415476075","PL005415476075",1,5,"2015--51","2015--12",36,346.808130288698,44.965686
"3793","PL005415476617","PL005415476617",1,5,"2015--52","2015--12",36,451.640520145529,35.277132
"3795","PL005227672689","PL005227672689",1,5,"2016--27","2016--07",36,418.401105447571,36.042042
"3796","PL005227673396","PL005227673396",1,5,"2016--27","2016--07",36,414.606638386095,27.642587
"3799","PL005227673648","PL005227673648",1,5,"2016--28","2016--07",36,573.52323463243,29.923482
"3800","PL005227673341","PL005227673341",1,5,"2016--30","2016--07",36,301.910978316101,30.009056
"3801","PL005227672771","PL005227672771",1,5,"2016--31","2016--08",36,418.824595573026,31.860654
"3802","PL005227673754","PL005227673754",1,5,"2016--31","2016--08",36,309.331902471243,21.335344
"3803","PL005227673792","PL005227673792",1,5,"2016--31","2016--08",36,237.758882492541,18.576706
"3806","PL005227673808","PL005227673808",1,5,"2016--33","2016--08",36,245.914638370347,21.962583
"3807","PL005249208767","PL005249208767",1,5,"2016--35","2016--09",36,286.791336513834,32.309158
"3809","PL005305365090","PL005305365090",1,5,"2014--49","2014--12",37,248.771843303865,29.421392
"3810","PL005254377779","PL005254377779",1,5,"2014--50","2014--12",37,293.573707124579,25.260992
"3811","PL005254380175","PL005254380175",1,5,"2014--50","2014--12",37,384.956915425657,37.504005
"3812","PL005305364819","PL005305364819",1,5,"2014--50","2014--12",37,479.966563216625,37.602678
"3815","PL005254377229","PL005254377229",1,5,"2014--51","2014--12",37,408.830290443246,37.203168
"3816","PL005305364109","PL005305364109",1,5,"2014--51","2014--12",37,402.1601802608,35.45594
"3817","PL005254376963","PL005254376963",1,5,"2015--00","2015--01",37,390.577489264046,35.332283
"3818","PL005254377274","PL005254377274",1,5,"2015--00","2015--01",37,530.92816699782,39.808536
"3819","PL005254378073","PL005254378073",1,5,"2015--00","2015--01",37,471.691771095726,35.123733
"3820","PL005237873359","PL005237873359",1,5,"2015--09","2015--03",37,396.113050256932,41.089404
"3821","PL005254376475","PL005254376475",1,5,"2015--09","2015--03",37,404.762606190487,38.318912
"3822","PL005305365069","PL005305365069",1,5,"2015--12","2015--03",37,509.047954117831,38.626176
"3823","PL005254377694","PL005254377694",1,5,"2015--13","2015--04",37,442.016135655723,35.166472
"3826","PL005254376550","PL005254376550",1,5,"2015--18","2015--05",37,108.103119731585,35.683725
"3827","PL005254374419","PL005254374419",1,5,"2015--19","2015--05",37,404.833271401912,32.55072
"3828","PL005254374549","PL005254374549",1,5,"2015--19","2015--05",37,492.364851881268,41.915774
"3829","PL005254375621","PL005254375621",1,5,"2015--19","2015--05",37,523.787398980448,38.832262
"3831","PL005254375812","PL005254375812",1,5,"2015--21","2015--05",37,381.218899627002,32.234705
"3832","PL005254375959","PL005254375959",1,5,"2015--21","2015--05",37,371.54380446832,24.871704
"3833","PL005254376680","PL005254376680",1,5,"2015--21","2015--05",37,249.466249679178,33.280925
"3835","PL005254374303","PL005254374303",1,5,"2015--22","2015--06",37,434.013290833074,35.888512
"3837","PL005254375881","PL005254375881",1,5,"2015--23","2015--06",37,199.663454223482,23.481826
"3838","PL005237873403","PL005237873403",1,5,"2015--27","2015--07",37,401.449502233117,19.236833
"3839","PL005254374808","PL005254374808",1,5,"2015--28","2015--07",37,391.833478316368,35.5212
"3840","PL005254375867","PL005254375867",1,5,"2015--28","2015--07",37,317.690416110352,36.001602
"3841","PL005305364376","PL005305364376",1,5,"2015--28","2015--07",37,249.964055356298,34.855464
"3842","PL005237873137","PL005237873137",1,5,"2015--29","2015--07",37,425.586122399941,32.134795
"3843","PL005254374433","PL005254374433",1,5,"2015--29","2015--07",37,384.421331162035,35.577399
"3844","PL005254374624","PL005254374624",1,5,"2015--29","2015--07",37,244.706846102662,25.32216
"3845","PL005254374822","PL005254374822",1,5,"2015--30","2015--07",37,344.478535841748,36.3444
"3853","PL005254374877","PL005254374877",1,5,"2015--47","2015--11",37,407.241804370184,32.203275
"3854","PL005420728923","PL005420728923",1,5,"2015--50","2015--12",37,468.483936778938,30.501448
"3855","PL005415476259","PL005415476259",1,5,"2015--52","2015--12",37,361.810745477873,42.376905
"3856","PL005415476358","PL005415476358",1,5,"2016--00","2016--01",37,369.903244220454,33.831666
"3858","PL005227673556","PL005227673556",1,5,"2016--25","2016--06",37,404.230745343057,32.522887
"3860","PL005227673174","PL005227673174",1,5,"2016--28","2016--07",37,388.863626919326,33.870794
"3861","PL005227674546","PL005227674546",1,5,"2016--28","2016--07",37,269.524191202729,22.95952
"3865","PL005227673686","PL005227673686",1,5,"2016--32","2016--08",37,314.528618140755,31.25632
"3866","PL005227673280","PL005227673280",1,5,"2016--33","2016--08",37,269.629700535432,31.03905
"3867","PL005227673624","PL005227673624",1,5,"2016--33","2016--08",37,300.905429485755,25.204166
"3868","PL005227673938","PL005227673938",1,5,"2016--35","2016--09",37,326.696012331703,34.50037
"3869","PL005249208767","PL005249208767",1,5,"2016--35","2016--09",37,365.960319312384,29.912784
"3874","PL005254376970","PL005254376970",1,5,"2014--50","2014--12",38,392.490340704764,30.882676
"3875","PL005254377779","PL005254377779",1,5,"2014--50","2014--12",38,375.685755219904,24.10486
"3876","PL005305364819","PL005305364819",1,5,"2014--50","2014--12",38,477.821080492317,38.265615
"3880","PL005254376987","PL005254376987",1,5,"2014--51","2014--12",38,467.000949878003,35.253
"3881","PL005254377229","PL005254377229",1,5,"2014--51","2014--12",38,387.563214818822,36.838568
"3882","PL005305363584","PL005305363584",1,5,"2014--52","2014--12",38,502.841268254996,45.256512
"3883","PL005305364789","PL005305364789",1,5,"2014--52","2014--12",38,490.788700086037,36.317088
"3884","PL005254376963","PL005254376963",1,5,"2015--00","2015--01",38,387.039067036022,35.047138
"3885","PL005254377274","PL005254377274",1,5,"2015--00","2015--01",38,559.063239046913,40.594176
"3886","PL005254378455","PL005254378455",1,5,"2015--01","2015--01",38,398.20932722566,36.892414
"3887","PL005254374440","PL005254374440",1,5,"2015--09","2015--03",38,464.804636318095,32.532885
"3888","PL005254376475","PL005254376475",1,5,"2015--09","2015--03",38,482.635191869205,40.48355
"3890","PL005254375553","PL005254375553",1,5,"2015--18","2015--05",38,441.98838637028,28.368675
"3891","PL005254376550","PL005254376550",1,5,"2015--18","2015--05",38,319.062911723978,34.495584
"3893","PL005254374549","PL005254374549",1,5,"2015--19","2015--05",38,408.624033802537,42.742784
"3894","PL005254375621","PL005254375621",1,5,"2015--19","2015--05",38,520.398292251321,44.65136
"3895","PL005254375911","PL005254375911",1,5,"2015--20","2015--05",38,506.860384157123,32.516076
"3898","PL005254377427","PL005254377427",1,5,"2015--21","2015--05",38,356.088999189689,33.033948
"3901","PL005254374303","PL005254374303",1,5,"2015--22","2015--06",38,523.753925008007,35.115795
"3902","PL005254375959","PL005254375959",1,5,"2015--22","2015--06",38,442.528830513494,26.984265
"3903","PL005254376628","PL005254376628",1,5,"2015--22","2015--06",38,413.412515526279,35.093609
"3904","PL005254377991","PL005254377991",1,5,"2015--22","2015--06",38,536.134490182016,41.62144
"3906","PL005254375485","PL005254375485",1,5,"2015--23","2015--06",38,250.139210706885,33.74133
"3907","PL005254375669","PL005254375669",1,5,"2015--23","2015--06",38,351.898229637229,28.679307
"3908","PL005254376093","PL005254376093",1,5,"2015--23","2015--06",38,455.10157364849,27.645986
"3909","PL005254374433","PL005254374433",1,5,"2015--29","2015--07",38,566.877866171213,40.938576
"3910","PL005254374808","PL005254374808",1,5,"2015--29","2015--07",38,180.709313393805,34.33731
"3911","PL005254374822","PL005254374822",1,5,"2015--30","2015--07",38,401.793077826665,36.205624
"3912","PL005254376000","PL005254376000",1,5,"2015--30","2015--07",38,468.133895656107,36.818084
"3921","PL005420728411","PL005420728411",1,5,"2015--43","2015--10",38,307.677954256504,31.624413
"3922","PL005254375768","PL005254375768",1,5,"2015--45","2015--11",38,340.390061661615,37.117158
"3923","PL005420728596","PL005420728596",1,5,"2015--45","2015--11",38,308.838846438987,33.887206
"3925","PL005254374877","PL005254374877",1,5,"2015--47","2015--11",38,402.986940203579,28.485863
"3926","PL005420728923","PL005420728923",1,5,"2015--50","2015--12",38,545.541035009737,31.770352
"3927","PL005415476259","PL005415476259",1,5,"2015--52","2015--12",38,484.778506782644,41.5443
"3928","PL005415476617","PL005415476617",1,5,"2015--52","2015--12",38,418.559205002336,34.03774
"3929","PL005420728695","PL005420728695",1,5,"2016--00","2016--01",38,373.705700837464,36.061935
"3933","PL005227673440","PL005227673440",1,5,"2016--25","2016--06",38,396.66611379462,27.089412
"3934","PL005227673402","PL005227673402",1,5,"2016--26","2016--07",38,344.97669589795,27.24429
"3937","PL005227672634","PL005227672634",1,5,"2016--29","2016--07",38,388.98918369927,35.671363
"3938","PL005227673174","PL005227673174",1,5,"2016--29","2016--07",38,395.162547354402,32.387929
"3939","PL005227674546","PL005227674546",1,5,"2016--29","2016--07",38,213.553060741387,23.611336
