nummer,naam stier,gebjr,run nummer,basis,kicode,owner,base,rel NVI,NVI,source production,rel Inet,dochters productie,milk,fat,protein,lactose,rel milk,rel fat,rel prot,rel lact,source dmi,daughters dmi,rel dmi direct,rel dmi incl voorspellers,rel bvo,rel bvk,dmi direct,dmi incl voorspellers,FSM,FSCM,bvo obv selectieindex,rel bvo new,diff bvo
HOLDEUM000360848342,SAVELI,2017,241,1,781753,IM74,2024HC,81,142,E,89,100,1137,53,38,58,92,91,89,92,E,0,48,74,56,56,15,152,49,48,13,56,36
HOLNLDM000422992648,DELTA LOGAN,2005,241,1,977667,CO60,2024HC,97,-114,E,99,4175,-693,-18,-9,-49,99,99,99,99,E,6,61,79,64,64,-2,-68,-21,-20,-18,64,-3
HOLNLDM000712452728,DELTA LEVAST,2013,241,1,941141,CO60,2024HC,90,-204,E,96,154,-751,-17,-27,-33,97,97,96,97,E,0,52,76,60,60,21,-34,-58,-56,-31,60,-27
HOLCZEM000653869021,ZDISLAVICE OBERON,2010,241,1,940611,CO60,2024HC,71,-180,G,76,0,-296,-57,-36,-26,83,81,76,76,G,0,49,73,51,51,-13,-152,-27,-26,-4,51,-23
HOLNLDM000522173778,AZ SUPER,2008,241,1,979972,CO60,2024HC,91,-229,E,97,182,-618,-25,-25,-25,97,97,97,97,E,0,53,77,61,61,-110,-184,84,81,81,61,3
HOLNLDM000492027167,SLIJKHUIS ABBOTT,2008,241,1,978986,CO60,2024HC,89,-218,E,95,130,-465,-46,-32,-12,96,96,95,96,E,0,49,76,59,59,-69,-171,31,30,50,59,-19
HOLNLDM000562601846,DELTA MARCO,2017,241,1,942087,CO60,2024HC,80,181,G,86,0,-844,33,3,-41,90,89,86,89,G,0,55,76,57,57,-57,-7,44,43,19,57,25
HOLUSAM003205149655,BUSH-BROS FRAGRANT,2019,241,1,942355,CO60,2024HC,81,246,E,86,349,32,70,22,4,90,90,86,89,E,0,47,74,55,55,12,123,50,49,10,55,40
HOLDEUM000542159326,MILO,2022,241,1,784630,VL06,2024HC,67,245,G,73,0,2193,59,62,108,80,79,73,73,G,0,47,72,50,50,104,225,57,55,29,50,28
HOLNLDM000532428323,OOSTERZICHT GIOVANNI,2010,241,1,940447,CO60,2024HC,91,-22,E,97,195,-499,34,16,-27,98,97,97,97,E,0,54,77,61,61,-67,-5,70,68,32,61,38
HOLDEUM000361199163,BALEX PP,2018,241,1,782591,IM03,2024HC,80,84,J,89,0,123,10,-3,15,92,91,89,89,J,0,48,74,55,55,31,11,20,19,13,55,7
HOLCANM000013567606,PROGENESIS INTRICATE,2019,241,1,942464,CO60,2024HC,74,137,J,82,0,444,60,11,11,87,86,82,86,J,0,47,73,53,53,99,127,19,18,-6,53,25
